ID,name,smiles,lgK,delta,ref_num,doi
48,DOTA-(Gly)4,O=C(O)CNC(=O)CN1CCN(CC(=O)NCC(=O)O)CCN(CC(=O)NCC(=O)O)CCN(CC(=O)NCC(=O)O)CC1,14.54,0.09,39,10.1002/hlca.200590042
49,DETA,O=C(O)CN1CCCN(CC(=O)O)CCN(CC(=O)O)CC1,15.1,0.3,40,10.1021/ic00009a027
50,MeDETA,CC1CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)C1,14.7,0.3,40,10.1021/ic00009a027
51,Me2DETA,CC1(C)CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)C1,10.4,0.2,40,10.1021/ic00009a027
52,NOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CC1,13.7,0.2,40,10.1021/ic00009a027
52,NOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CC1,14.3,0.1,19,10.1021/ic00253a038
53,NOTMA,CC(C(=O)O)N1CCN(C(C)C(=O)O)CCN(C(C)C(=O)O)CC1,12.8,,41,10.1524/ract.1993.61.34.207
54,mpatcn,O=C(O)CN1CCN(CC(=O)O)CCN(Cc2cccc(C(=O)O)n2)CC1,13.9,0.2,42,10.1002/ejic.201101162
55,bpatcn,O=C(O)CN1CCN(Cc2cccc(C(=O)O)n2)CCN(Cc2cccc(C(=O)O)n2)CC1,15.8,0.2,43,10.1002/chem.200501390
56,ebpatcn,O=C(O)CCN1CCN(Cc2cccc(C(=O)O)n2)CCN(Cc2cccc(C(=O)O)n2)CC1,15.1,0.04,44,10.1039/b907738c
57,TPHA,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,20.41,,45,10.1016/s0010-8545(00)80110-1
57,TPHA,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,20.42,,46,10.1016/0022-1902(81)80122-4
58,CE-DTPA,O=C(O)CCC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,21.66,0.03,29,10.1016/s0010-8545(99)00237-4
59,TTAHA,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O)CC(=O)O,19,0.1,47,10.1515/znc-1997-7-814
60,DTPA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,20.73,0.06,48,10.1016/0022-1902(77)80538-1
60,DTPA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.03,0.01,49,10.1002/ejic.200901261
60,DTPA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.2,1,22,10.1021/ic00094a021
60,DTPA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.26,0.15,50,10.1002/mrm.1910080208
60,DTPA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.3,0.1,19,10.1021/ic00253a038
60,DTPA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.46,0.02,51,10.1021/ic991189m
60,DTPA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.46,0.07,52,10.1016/0022-1902(62)80236-x
60,DTPA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.52,,53,10.1021/ic981072i
60,DTPA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.9,,23,10.1002/mrm.1910220215
60,DTPA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,23.01,,54,10.1016/0022-1902(59)80246-3
61,rac-BOPTA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O,21.91,0.01,49,10.1002/ejic.200901261
61,rac-BOPTA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O,22.58,0.03,29,10.1016/s0010-8545(99)00237-4
61,rac-BOPTA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O,22.59,,55,10.1021/ic00107a017
62,(S)-LDTPA,Nc1ccc(CC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O)cc1,21.99,,56,10.1021/jm9602118
63,(S)-EOB-DTPA,CCOc1ccc(CC(CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1,22.76,0.06,29,10.1016/s0010-8545(99)00237-4
63,(S)-EOB-DTPA,CCOc1ccc(CC(CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1,23.46,0.13,53,10.1021/ic981072i
64,rac-EPTPA-bz-NO2,O=C(O)CN(CCCN(CC(=O)O)CC(Cc1ccc([N+](=O)[O-])cc1)N(CC(=O)O)CC(=O)O)CC(=O)O,19.2,0.02,57,10.1002/chem.200204612
65a,"rac-(R,R,R,R)-cycyDTPA",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,20.71,0.02,51,10.1021/ic991189m
65b,"meso-(R,R,S,S)-cycymDTPA",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,20.42,0.02,51,10.1021/ic991189m
66,DTTAP,O=C(O)CCN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,19.74,0.3,58,10.1016/s0277-5387(00)86256-7
67,DPTPA,O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CCCN(CC(=O)O)CC(=O)O,13,0.03,57,10.1002/chem.200204612
68,DTPA-PY,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)Cc1ccccn1)CC(=O)O,21.59,0.07,59,10.1016/s0277-5387(00)00502-7
69,DTPA-HP,CC(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,18.48,0.05,59,10.1016/s0277-5387(00)00502-7
70,DTPA-N'-MA,CNC(=O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,19.9,,60,10.1039/b005298l
71,DTPA-N-MA,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,19.3,,60,10.1039/b005298l
72,DTPA-PA,CCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,19.68,0.15,50,10.1002/mrm.1910080208
73,DTPA-PE,CCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,18.91,0.15,50,10.1002/mrm.1910080208
74,DEATA,CCN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,17.79,,61,10.1021/ic00212a005
75,BEATA,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)c1ccccc1)CC(=O)O,15.42,,61,10.1021/ic00212a005
76,TTDA-HP,CC(O)CN(CCCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,17.33,0.05,62,10.1039/b107456n
77,TTDA-H1P,O=C(O)CN(CCCN(CCN(CC(=O)O)CC(=O)O)C(CO)c1ccccc1)CC(=O)O,17.16,0.07,62,10.1039/b107456n
78,TTDA-H2P,O=C(O)CN(CCCN(CCN(CC(=O)O)CC(=O)O)CC(O)c1ccccc1)CC(=O)O,17.44,0.05,62,10.1039/b107456n
79,DTPA-PE2,CCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)OCCC)CC(=O)O)CC(=O)O,16.3,0.15,50,10.1002/mrm.1910080208
80,DTPA-BA,NC(=O)CN(CCN(CCN(CC(N)=O)CC(=O)O)CC(=O)O)CC(=O)O,14.6,0.09,63,10.1039/b514173g
81,DTPA-BMA DTPA-MA2,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC)CC(=O)O)CC(=O)O,16.64,0.02,49,10.1002/ejic.200901261
81,DTPA-BMA DTPA-MA2,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC)CC(=O)O)CC(=O)O,16.85,0.05,64,10.1016/0730-725x(90)90055-7
82,DTPA-PA2,CCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCC)CC(=O)O)CC(=O)O,16.23,0.15,50,10.1002/mrm.1910080208
83,DTPA-BiPA,CC(C)NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC(C)C)CC(=O)O)CC(=O)O,17.07,0.04,65,10.1039/a605483h
84,DTPA-BnBA DTPA-BA2,CCCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCCC)CC(=O)O)CC(=O)O,15.9,,66,10.1097/00004424-199009001-00026
84,DTPA-BnBA DTPA-BA2,CCCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCCC)CC(=O)O)CC(=O)O,16.5,0.12,63,10.1039/b514173g
