ID,sourceID,smiles,doi,source,lgK
rev_025,25,O=C(O)CN1CCN(CC(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CCN(CC(=O)O)CC1,10.1021/ic00032a035,dioury2014,25.93
rev_010,10,O=C(O)CN1CCOCCN(CC(=O)O)CCOCCN(CC(=O)O)CCOCC1,10.1021/ic00067a022,dioury2014,18.02
rev_163,A11,O=C(O)CN(CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O,10.1016/S0010-8545(99)00237-4,uzal2022,21.72
rev_076,76,CC(O)CN(CCCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,10.1039/b107456n,dioury2014,17.33
rev_202,B31,CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(Cc2cccc(C(=O)O)n2)CC1,10.1021/acs.inorgchem.0c00520,uzal2022,17.12
rev_138,138,C[C@H](C(=O)O)N1CCNCCN([C@H](C)C(=O)O)CCN([C@H](C)C(=O)O)CC1,10.1021/ic00065a019,dioury2014,25.3
rev_095,95,COCCN(CCOC)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCOC)CCOC)CC(=O)O)CC(=O)O,10.1097/00004424-199111001-00074,dioury2014,19.2
rev_186,A68,NCC(=O)O,10.1016/S0020-1693(00)81210-4,uzal2022,3.72
rev_065,65b,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,10.1021/ic991189m,dioury2014,20.42
rev_123,123,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/ic00006a021,dioury2014,15.88
rev_127,127,O=C(O)CCN1CCOCCN(CCC(=O)O)CCN(CCC(=O)O)CCOCC1,10.1006/mchj.1996.0026,dioury2014,11.23
rev_200,B25,O=C(O)CN1CCN(CP(=O)(O)O)CCN(CC(=O)O)CCN(CP(=O)(O)O)CC1,10.1021/ic7024704,uzal2022,25.7
rev_162,A8,NCCC(N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O)P(=O)(O)O,10.1002/cmmi.131,uzal2022,22.34
rev_165,A20,O=C(O)CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCC(=O)O)CC(=O)O)CC(=O)O,10.1021/acs.inorgchem.6b02158,uzal2022,16.17
rev_219,T4,O=C(O)CN(Cc1ccccn1)[C@@H]1CCCC[C@H]1N(CC(=O)O)Cc1ccccn1,10.1016/j.ccr.2022.214606,uzal2022,12.07
rev_100,100,CCCCN(CCCC)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCCC)CCCC)CC(=O)NC)CC(=O)O,10.1039/b417272h,dioury2014,17.93
rev_024,24,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)[C@@H](Cc2ccc([N+](=O)[O-])cc2)CN(CC(=O)O)CC1,10.1021/ic0353007,dioury2014,24.2
rev_112,112,O=C(O)CN(CC(=O)O)c1ccccc1OCCOc1ccccc1N(CC(=O)O)CC(=O)O,10.1246/bcsj.66.3377,dioury2014,10.6
rev_173,A46,CCCNC(=O)CN(CCN(CC(=O)O)CC(=O)NCCC)CC(=O)O,10.1039/b211060a,uzal2022,10.3
rev_033,33,O=C(O)CN1CCN(CCO)CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/ic00095a028,dioury2014,22.3
rev_029,29,C[C@H](C(=O)O)N1CCN([C@H](C)C(=O)O)CCN([C@H](C)C(=O)O)[C@@H](Cc2ccc([N+](=O)[O-])cc2)CN([C@H](C)C(=O)O)CC1,10.1021/ic2012843,dioury2014,23.86
rev_051,51,CC1(C)CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)C1,10.1021/ic00009a027,dioury2014,10.4
rev_121,121,O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)Cc1ccccn1,10.1021/ic9613016,dioury2014,12.37
rev_177,A57,O=C(O)CN(Cc1cccc(C(=O)O)n1)[C@@H]1CCCC[C@H]1N(CC(=O)O)Cc1cccc(C(=O)O)n1,10.1002/chem.201503836,uzal2022,20.68
rev_032,32,CNCC(=O)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/ci500346w,dioury2014,21.54
rev_178,A60,O=C(O)CN(CC(=O)O)c1ccccc1N(CC(=O)O)CC(=O)O,10.1246/bcsj.65.1566,uzal2022,13.89
rev_187,A69,O=C(O)CN(CC(=O)O)[C@@H]1CC[C@H]1N(CC(=O)O)CC(=O)O,10.1016/S0020-1693(00)81210-4,uzal2022,14.73
rev_222,T7,CN(CCOCCN(C)Cc1cccc(C(=O)O)n1)Cc1cccc(C(=O)O)n1,10.1021/acs.inorgchem.0c00372,uzal2022,12.02
rev_083,83,CC(C)NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC(C)C)CC(=O)O)CC(=O)O,10.1039/a605483h,dioury2014,17.07
rev_215,E2,O=C(O)c1cccc(CN2CCOCCOCCN(Cc3cccc(C(=O)O)n3)CCOCC2)n1,10.1039/C0DT00746C,uzal2022,11.41
rev_030,30,O=C(O)CCC(C(=O)O)N1CCN(C(CCC(=O)O)C(=O)O)CCN(C(CCC(=O)O)C(=O)O)CCN(C(CCC(=O)O)C(=O)O)CC1,10.1002/ejic.200300085,dioury2014,24.03
rev_104,104,O=C(O)CN(CC(=O)O)C1CCCC1N(CC(=O)O)CC(=O)O,10.1016/s0003-2670(01)95804-0,dioury2014,18.24
rev_226,T11,O=C(O)CN1Cc2cccc(n2)CN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)Cc2cccc(n2)C1,10.1021/acs.inorgchem.9b03345,uzal2022,18.3
rev_036,36,O=C(O)CN1CCN(CC(=O)O)CCN(C(CO)C(O)CO)CCN(CC(=O)O)CC1,10.1016/0020-1693(96)05094-3,dioury2014,18.7
